.notdef,.notdef
.null,.null
CR,CR
space,space
ExclamationMrk,exclam
QuotMrk,quotedbl
NumSgn,numbersign
DollarSgn,dollar
PercentSgn,percent
Ampersand,ampersand
Apos,quotesingle
LftParen,parenleft
RtParen,parenright
Asterisk,asterisk
PlusSgn,plus
Comma,comma
HyphenMinus,hyphen
FullStop,period
Solidus,slash
DigitZero,zero
DigitOne,one
DigitTwo,two
DigitThree,three
DigitFour,four
DigitFive,five
DigitSix,six
DigitSeven,seven
DigitEight,eight
DigitNine,nine
Colon,colon
Semicolon,semicolon
LTSgn,less
EqSgn,equal
GTSgn,greater
QstnMrk,question
AtSgn,at
LtnCapA,A
LtnCapB,B
LtnCapC,C
LtnCapD,D
LtnCapE,E
LtnCapF,F
LtnCapG,G
LtnCapH,H
LtnCapI,I
LtnCapJ,J
LtnCapK,K
LtnCapL,L
LtnCapM,M
LtnCapN,N
LtnCapO,O
LtnCapP,P
LtnCapQ,Q
LtnCapR,R
LtnCapS,S
LtnCapT,T
LtnCapU,U
LtnCapV,V
LtnCapW,W
LtnCapX,X
LtnCapY,Y
LtnCapZ,Z
LftSqrBrac,bracketleft
ReverseSolidus,backslash
RtSqrBrac,bracketright
CircumAccent,asciicircum
LowLine,underscore
GraveAccent,grave
LtnSmA,a
LtnSmB,b
LtnSmC,c
LtnSmD,d
LtnSmE,e
LtnSmF,f
LtnSmG,g
LtnSmH,h
LtnSmI,i
LtnSmJ,j
LtnSmK,k
LtnSmL,l
LtnSmM,m
LtnSmN,n
LtnSmO,o
LtnSmP,p
LtnSmQ,q
LtnSmR,r
LtnSmS,s
LtnSmT,t
LtnSmU,u
LtnSmV,v
LtnSmW,w
LtnSmX,x
LtnSmY,y
LtnSmZ,z
LftCurlyBrac,braceleft
VertLine,bar
RtCurlyBrac,braceright
Tilde,asciitilde
EuroSgn,Euro
SglLow9QuotMrk,quotesinglbase
LtnSmFHook,florin
DblLow9QuotMrk,quotedblbase
HorizEllipsis,ellipsis
Dagger,dagger
DblDagger,daggerdbl
ModCircumAccent,circumflex
PerMilleSgn,perthousand
LtnCapSCaron,Scaron
SglLftPtngAngQuotMrk,guilsinglleft
LtnCapLigOe,OE
LtnCapZCaron,Zcaron
LftSglQuotMrk,quoteleft
RtSglQuotMrk,quoteright
LftDblQuotMrk,quotedblleft
RtDblQuotMrk,quotedblright
Bullet,bullet
EnDash,endash
EmDash,emdash
SmTilde,tilde
TradeMrkSgn,trademark
LtnSmSCaron,scaron
SglRtPtngAngQuotMrk,guilsinglright
LtnSmLigOe,oe
LtnSmZCaron,zcaron
LtnCapYDiaer,Ydieresis
NoBreakSpace,uni00A0
InvExclamationMrk,exclamdown
CentSgn,cent
PoundSgn,sterling
CurrSgn,currency
YenSgn,yen
BrokenBar,brokenbar
SectionSgn,section
Diaer,dieresis
CopyrightSgn,copyright
FemOrdIndicator,ordfeminine
LftPtngDblAngQuotMrk,guillemotleft
NotSgn,logicalnot
Hyphen_Soft,uni00AD
RegisteredSgn,registered
Macron,macron
DegreeSgn,degree
PlusMinusSgn,plusminus
SupTwo,twosuperior
SupThree,threesuperior
AcuteAccent,acute
MicroSgn,mu
PilcrowSgn,paragraph
MiddleDot,periodcentered
Cedilla,cedilla
SupOne,onesuperior
MascOrdIndicator,ordmasculine
RtPtngDblAngQuotMrk,guillemotright
VulgFracOneQuarter,onequarter
VulgFracOneHalf,onehalf
VulgFracThreeQuarters,threequarters
InvQstnMrk,questiondown
LtnCapAGrave,Agrave
LtnCapAAcute,Aacute
LtnCapACircum,Acircumflex
LtnCapATilde,Atilde
LtnCapADiaer,Adieresis
LtnCapARingAbv,Aring
LtnCapAe,AE
LtnCapCCedilla,Ccedilla
LtnCapEGrave,Egrave
LtnCapEAcute,Eacute
LtnCapECircum,Ecircumflex
LtnCapEDiaer,Edieresis
LtnCapIGrave,Igrave
LtnCapIAcute,Iacute
LtnCapICircum,Icircumflex
LtnCapIDiaer,Idieresis
LtnCapEth,Eth
LtnCapNTilde,Ntilde
LtnCapOGrave,Ograve
LtnCapOAcute,Oacute
LtnCapOCircum,Ocircumflex
LtnCapOTilde,Otilde
LtnCapODiaer,Odieresis
MultSgn,multiply
LtnCapOStrk,Oslash
LtnCapUGrave,Ugrave
LtnCapUAcute,Uacute
LtnCapUCircum,Ucircumflex
LtnCapUDiaer,Udieresis
LtnCapYAcute,Yacute
LtnCapThorn,Thorn
LtnSmSharpS,germandbls
LtnSmAGrave,agrave
